from_destination_id,to_destination_id,distance_km,duration_minutes_car,duration_minutes_bike,transport_mode
0x2e7a607be3e2fd29_0x1bf37c8ecf4f712d,0x2e7a607be37b3a4f_0xe1c1cf9f0991f83b,0.0,0,0,car
0x2e7a607be3e2fd29_0x1bf37c8ecf4f712d,0x2e7a61461e6647fb_0x7c1c4419cee7717c,0.08,0,0,car
0x2e7a607be3e2fd29_0x1bf37c8ecf4f712d,0x2e7a607a12428539_0x6d099c77543608ee,0.31,0,1,car
0x2e7a607be3e2fd29_0x1bf37c8ecf4f712d,0x2e7a61fb31d8c03b_0x2d6f018afd93087d,0.46,1,2,car
0x2e7a607be3e2fd29_0x1bf37c8ecf4f712d,0x2e7a5fe0f3d2588b_0x396c78096c841f43,1.67,3,7,car
0x2e7a607be3e2fd29_0x1bf37c8ecf4f712d,0x2e7a6060030cfac9_0xeadbb96e26a4d9f0,1.86,3,7,car
0x2e7a607be3e2fd29_0x1bf37c8ecf4f712d,0x2e7a5fdcdf4da0af_0xa4e182adcb39c2a6,1.98,3,8,car
0x2e7a607be3e2fd29_0x1bf37c8ecf4f712d,0x2e7a5fcb7208b3f7_0x5f3ba75243827325,2.49,4,10,car
0x2e7a5826be29978d_0xe41a56956d58b8c7,0x2e7a59004b3be279_0x4a9a8dad5302bd37,0.12,0,0,car
0x2e7a5826be29978d_0xe41a56956d58b8c7,0x2e7a593a033da907_0xdf94fe0bb50fe92a,0.17,0,1,car
0x2e7a5826be29978d_0xe41a56956d58b8c7,0x2e7a590042fb9a57_0x5e6b068e61547480,0.26,0,1,car
0x2e7a5826be29978d_0xe41a56956d58b8c7,0x2e7a5821212f3af7_0x34ed56a391657a44,0.29,0,1,car
0x2e7a5826be29978d_0xe41a56956d58b8c7,0x2e7a59328022ba3f_0x95779f70fba53792,0.29,0,1,car
0x2e7a5826be29978d_0xe41a56956d58b8c7,0x2e7a582633dec295_0x8d7cddebc8d3b8f5,0.39,1,2,car
0x2e7a5826be29978d_0xe41a56956d58b8c7,0x2e7a5827516ba389_0x5b0c107dea397037,0.39,1,2,car
0x2e7a5826be29978d_0xe41a56956d58b8c7,0x2e7a591a88e2df73_0xd581780bc490b602,0.4,1,2,car
0x2e7a562ec443e609_0xdd8f6df4e1b97dfc,0x2e7a5765450544b7_0x76fbeabcec026a1c,0.02,0,0,car
0x2e7a562ec443e609_0xdd8f6df4e1b97dfc,0x2e7a562ee41b46f1_0x4b13409faf136565,0.04,0,0,car
0x2e7a562ec443e609_0xdd8f6df4e1b97dfc,0x2e7a562ede3d29a5_0x3c51df16d8d309fb,0.05,0,0,car
0x2e7a562ec443e609_0xdd8f6df4e1b97dfc,0x2e7a570368058467_0x17be41e53b595976,0.1,0,0,car
0x2e7a562ec443e609_0xdd8f6df4e1b97dfc,0x2e7a57f8dc68062f_0x49e165c4efaf0867,0.13,0,1,car
0x2e7a562ec443e609_0xdd8f6df4e1b97dfc,0x2e7a5719a05608d9_0x3c56e4bffeb2b34d,0.16,0,1,car
0x2e7a562ec443e609_0xdd8f6df4e1b97dfc,0x2e7a578e8988fb67_0x6a0b8b09a52b7720,0.16,0,1,car
0x2e7a562ec443e609_0xdd8f6df4e1b97dfc,0x2e7a562eb5414509_0x4650c5c375db675f,0.16,0,1,car
0x2e7a5793d0c2cf2b_0x276a21f8a01cbe13,0x2e7a574afb1228ab_0x34e638eddc730d3e,0.08,0,0,car
0x2e7a5793d0c2cf2b_0x276a21f8a01cbe13,0x2e7a57426b1607a3_0x7adfecd2d1c49a9a,0.09,0,0,car
0x2e7a5793d0c2cf2b_0x276a21f8a01cbe13,0x2e7a57bdb78da113_0x4833eb6eea997ae1,0.1,0,0,car
0x2e7a5793d0c2cf2b_0x276a21f8a01cbe13,0x2e7a57d6ebc61d87_0xde9e3ad7bd9a24d5,0.11,0,0,car
0x2e7a5793d0c2cf2b_0x276a21f8a01cbe13,0x2e7a57e0c641ea25_0x873f7b72ad7b6bf,0.11,0,0,car
